"Step","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MIN","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MAX"
"297","41.524999999999935","41.524999999999935","41.524999999999935"
"298","42.273999999999944","42.273999999999944","42.273999999999944"
"299","40.353999999999935","40.353999999999935","40.353999999999935"
"300","42.357999999999926","42.357999999999926","42.357999999999926"
"301","42.64499999999994","42.64499999999994","42.64499999999994"
"302","44.219999999999935","44.219999999999935","44.219999999999935"
"303","42.35599999999993","42.35599999999993","42.35599999999993"
"304","42.63599999999993","42.63599999999993","42.63599999999993"
"305","39.87999999999994","39.87999999999994","39.87999999999994"
"306","40.408999999999935","40.408999999999935","40.408999999999935"
"307","38.26199999999994","38.26199999999994","38.26199999999994"
"308","39.52399999999994","39.52399999999994","39.52399999999994"
"309","39.26299999999995","39.26299999999995","39.26299999999995"
"310","38.703999999999944","38.703999999999944","38.703999999999944"
"311","38.55999999999994","38.55999999999994","38.55999999999994"
"312","39.81099999999994","39.81099999999994","39.81099999999994"
"313","38.63599999999994","38.63599999999994","38.63599999999994"
"314","40.00699999999994","40.00699999999994","40.00699999999994"
"315","41.21599999999994","41.21599999999994","41.21599999999994"
"316","40.95999999999994","40.95999999999994","40.95999999999994"
"317","42.56799999999993","42.56799999999993","42.56799999999993"
"318","44.491999999999926","44.491999999999926","44.491999999999926"
"319","43.103999999999935","43.103999999999935","43.103999999999935"
"320","43.74899999999993","43.74899999999993","43.74899999999993"
"321","43.39999999999993","43.39999999999993","43.39999999999993"
"322","41.658999999999935","41.658999999999935","41.658999999999935"
"323","41.53099999999993","41.53099999999993","41.53099999999993"
"324","41.481999999999935","41.481999999999935","41.481999999999935"
"325","42.557999999999936","42.557999999999936","42.557999999999936"
"326","42.61899999999992","42.61899999999992","42.61899999999992"
"327","45.41099999999993","45.41099999999993","45.41099999999993"
"328","45.13699999999994","45.13699999999994","45.13699999999994"
"329","45.39799999999993","45.39799999999993","45.39799999999993"
"330","45.42799999999992","45.42799999999992","45.42799999999992"
"331","44.818999999999924","44.818999999999924","44.818999999999924"
"332","43.721999999999916","43.721999999999916","43.721999999999916"
"333","45.16499999999992","45.16499999999992","45.16499999999992"
"334","43.854999999999926","43.854999999999926","43.854999999999926"
"335","44.54199999999994","44.54199999999994","44.54199999999994"
"336","44.65899999999994","44.65899999999994","44.65899999999994"
"337","46.121999999999936","46.121999999999936","46.121999999999936"
"338","46.17199999999993","46.17199999999993","46.17199999999993"
"339","47.477999999999945","47.477999999999945","47.477999999999945"
"340","47.90099999999994","47.90099999999994","47.90099999999994"
"341","47.63199999999993","47.63199999999993","47.63199999999993"
"342","46.944999999999936","46.944999999999936","46.944999999999936"
"343","45.04399999999993","45.04399999999993","45.04399999999993"
"344","42.65499999999993","42.65499999999993","42.65499999999993"
"345","41.98899999999994","41.98899999999994","41.98899999999994"
"346","41.34399999999993","41.34399999999993","41.34399999999993"
"347","41.64599999999994","41.64599999999994","41.64599999999994"
"348","42.65099999999993","42.65099999999993","42.65099999999993"
"349","44.719999999999935","44.719999999999935","44.719999999999935"
"350","48.409999999999926","48.409999999999926","48.409999999999926"
"351","48.40399999999993","48.40399999999993","48.40399999999993"
"352","48.786999999999935","48.786999999999935","48.786999999999935"
"353","48.00299999999993","48.00299999999993","48.00299999999993"
"354","46.928999999999945","46.928999999999945","46.928999999999945"
"355","45.056999999999945","45.056999999999945","45.056999999999945"
"356","42.231999999999935","42.231999999999935","42.231999999999935"
"357","42.96499999999995","42.96499999999995","42.96499999999995"
"358","43.23699999999994","43.23699999999994","43.23699999999994"
"359","43.55399999999993","43.55399999999993","43.55399999999993"
"360","43.587999999999944","43.587999999999944","43.587999999999944"
"361","46.55699999999993","46.55699999999993","46.55699999999993"
"362","49.67299999999993","49.67299999999993","49.67299999999993"
"363","49.862999999999936","49.862999999999936","49.862999999999936"
"364","49.63599999999994","49.63599999999994","49.63599999999994"
"365","50.78599999999993","50.78599999999993","50.78599999999993"
"366","50.05799999999995","50.05799999999995","50.05799999999995"
"367","49.18399999999993","49.18399999999993","49.18399999999993"
"368","49.581999999999915","49.581999999999915","49.581999999999915"
"369","50.283999999999914","50.283999999999914","50.283999999999914"
"370","49.41999999999994","49.41999999999994","49.41999999999994"
