"Step","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MIN","simple_3by3_oldarrival_run_arrival_change_201_007_simple_linear_2025-06-17_12-29-08 - reward__MAX"
"424","-99.78299999999999","-99.78299999999999","-99.78299999999999"
"425","-99.77799999999999","-99.77799999999999","-99.77799999999999"
"426","-99.78","-99.78","-99.78"
"427","-99.76","-99.76","-99.76"
"428","-99.74","-99.74","-99.74"
"429","-99.76","-99.76","-99.76"
"430","-99.75","-99.75","-99.75"
"431","-99.76","-99.76","-99.76"
"432","-99.775","-99.775","-99.775"
"433","-99.78","-99.78","-99.78"
"434","-99.765","-99.765","-99.765"
"435","-99.77","-99.77","-99.77"
"436","-99.765","-99.765","-99.765"
"437","-99.755","-99.755","-99.755"
"438","-99.755","-99.755","-99.755"
"439","-99.77","-99.77","-99.77"
"440","-99.76","-99.76","-99.76"
"441","-99.75","-99.75","-99.75"
"442","-99.74","-99.74","-99.74"
"443","-99.74","-99.74","-99.74"
"444","-99.725","-99.725","-99.725"
"445","-99.74","-99.74","-99.74"
"446","-99.745","-99.745","-99.745"
"447","-99.775","-99.775","-99.775"
"448","-99.78","-99.78","-99.78"
"449","-99.79","-99.79","-99.79"
"450","-99.79","-99.79","-99.79"
"451","-99.775","-99.775","-99.775"
"452","-99.75","-99.75","-99.75"
"453","-99.73","-99.73","-99.73"
"454","-99.75","-99.75","-99.75"
"455","-99.745","-99.745","-99.745"
"456","-99.745","-99.745","-99.745"
"457","-99.765","-99.765","-99.765"
"458","-99.77","-99.77","-99.77"
"459","-99.755","-99.755","-99.755"
"460","-99.755","-99.755","-99.755"
"461","-99.755","-99.755","-99.755"
"462","-99.75","-99.75","-99.75"
"463","-99.75","-99.75","-99.75"
"464","-99.765","-99.765","-99.765"
"465","-99.755","-99.755","-99.755"
"466","-99.78","-99.78","-99.78"
"467","-99.775","-99.775","-99.775"
"468","-99.775","-99.775","-99.775"
"469","-99.76","-99.76","-99.76"
"470","-99.765","-99.765","-99.765"
"471","-99.735","-99.735","-99.735"
"472","-99.76","-99.76","-99.76"
"473","-99.765","-99.765","-99.765"
"474","-99.775","-99.775","-99.775"
"475","-99.77","-99.77","-99.77"
"476","-99.78","-99.78","-99.78"
"477","-99.76","-99.76","-99.76"
"478","-99.74","-99.74","-99.74"
"479","-99.76","-99.76","-99.76"
"480","-99.75","-99.75","-99.75"
"481","-99.76","-99.76","-99.76"
"482","-99.775","-99.775","-99.775"
"483","-99.78","-99.78","-99.78"
"484","-99.765","-99.765","-99.765"
"485","-99.77","-99.77","-99.77"
"486","-99.765","-99.765","-99.765"
"487","-99.755","-99.755","-99.755"
"488","-99.755","-99.755","-99.755"
"489","-99.77","-99.77","-99.77"
"490","-99.76","-99.76","-99.76"
"491","-99.75","-99.75","-99.75"
"492","-99.74","-99.74","-99.74"
"493","-99.74","-99.74","-99.74"
"494","-99.725","-99.725","-99.725"
"495","-99.74","-99.74","-99.74"
"496","-99.745","-99.745","-99.745"
"497","-99.775","-99.775","-99.775"
"498","-99.78","-99.78","-99.78"
"499","-99.79","-99.79","-99.79"
"500","-99.79","-99.79","-99.79"
"501","-99.775","-99.775","-99.775"
"502","-99.75","-99.75","-99.75"
"503","-99.73","-99.73","-99.73"
"504","-99.75","-99.75","-99.75"
"505","-99.745","-99.745","-99.745"
"506","-99.745","-99.745","-99.745"
"507","-99.765","-99.765","-99.765"
"508","-99.77","-99.77","-99.77"
"509","-99.755","-99.755","-99.755"
"510","-99.755","-99.755","-99.755"
"511","-99.755","-99.755","-99.755"
"512","-99.75","-99.75","-99.75"
"513","-99.75","-99.75","-99.75"
"514","-99.765","-99.765","-99.765"
"515","-99.755","-99.755","-99.755"
"516","-99.78","-99.78","-99.78"
"517","-99.775","-99.775","-99.775"
"518","-99.775","-99.775","-99.775"
"519","-99.76","-99.76","-99.76"
"520","-99.765","-99.765","-99.765"
"521","-99.735","-99.735","-99.735"
"522","-99.76","-99.76","-99.76"
"523","-99.765","-99.765","-99.765"
"524","-99.775","-99.775","-99.775"
"525","-99.77","-99.77","-99.77"
"526","-99.78","-99.78","-99.78"
"527","-99.76","-99.76","-99.76"
"528","-99.74","-99.74","-99.74"
"529","-99.76","-99.76","-99.76"
"530","-99.75","-99.75","-99.75"
"531","-99.76","-99.76","-99.76"
"532","-99.775","-99.775","-99.775"
"533","-99.78","-99.78","-99.78"
"534","-99.773","-99.773","-99.773"
"535","-99.77799999999999","-99.77799999999999","-99.77799999999999"
"536","-99.773","-99.773","-99.773"
"537","-99.76299999999999","-99.76299999999999","-99.76299999999999"
"538","-99.76299999999999","-99.76299999999999","-99.76299999999999"
"539","-99.77","-99.77","-99.77"
"540","-99.76","-99.76","-99.76"
"541","-99.75","-99.75","-99.75"
"542","-99.74","-99.74","-99.74"
"543","-99.74","-99.74","-99.74"
"544","-99.725","-99.725","-99.725"
"545","-99.74","-99.74","-99.74"
"546","-99.745","-99.745","-99.745"
"547","-99.775","-99.775","-99.775"
"548","-99.78","-99.78","-99.78"
"549","-99.79","-99.79","-99.79"
"550","-99.79","-99.79","-99.79"
"551","-99.775","-99.775","-99.775"
"552","-99.75","-99.75","-99.75"
"553","-99.73","-99.73","-99.73"
"554","-99.75","-99.75","-99.75"
"555","-99.745","-99.745","-99.745"
"556","-99.745","-99.745","-99.745"
"557","-99.765","-99.765","-99.765"
"558","-99.77","-99.77","-99.77"
"559","-99.755","-99.755","-99.755"
"560","-99.755","-99.755","-99.755"
"561","-99.755","-99.755","-99.755"
"562","-99.75","-99.75","-99.75"
"563","-99.75","-99.75","-99.75"
"564","-99.765","-99.765","-99.765"
"565","-99.755","-99.755","-99.755"
"566","-99.78","-99.78","-99.78"
"567","-99.775","-99.775","-99.775"
"568","-99.775","-99.775","-99.775"
"569","-99.76","-99.76","-99.76"
"570","-99.765","-99.765","-99.765"
"571","-99.735","-99.735","-99.735"
"572","-99.76","-99.76","-99.76"
"573","-99.765","-99.765","-99.765"
